pregnancy.day,sow,foetus,sex,weight,BPD_1,BPD_2,CVD_1,CVD_2,ROL_1,ROL_2,AC_1,AC_2,ASD_1,ASD_2,ATD_1,ATD_2,HL_1,HL_2
50,11,7,f,45.2,1.65,1.69,0.62,0.61,3.58,3.5,8.87,8.77,3.11,3.06,2.45,2.44,1.11,1.23
50,11,8,f,43.4,1.68,1.64,0.62,0.6,3.26,3.43,8.19,8.35,2.84,2.94,2.26,2.17,1.15,1.06
50,11,9,f,42,1.72,1.66,0.69,0.68,3.4,3.34,8.25,8.35,2.94,3.05,2.17,2.14,1.16,1.09
50,14,5,f,46.26,1.91,1.93,0.602,0.626,3.26,3.43,9.33,9.02,3.1,2.94,2.89,2.82,1.18,1.22
50,14,7,f,41.09,1.74,1.72,0.694,0.719,3.24,3.15,8.8,8.86,3.08,3,2.33,2.59,1.13,1.21
50,14,8,f,44.68,1.76,1.78,0.64,0.637,3.31,3.28,8.58,8.89,2.91,2.97,2.45,2.44,1.16,1.12
50,14,10,f,43.61,1.72,1.72,0.726,0.713,3.51,3.44,8.94,8.82,3.02,3.12,2.49,2.3,1.1,1.16
50,14,12,f,43.64,1.81,1.8,0.606,0.611,3.07,3.02,8.67,9.03,3.08,3.2,2.38,2.47,1.33,1.28
50,10,1,,23.5,1.55,1.53,0.69,0.67,3.13,3.16,6.65,6.78,2.45,2.38,1.79,1.88,1.08,1.1
50,10,2,,42.1,1.91,1.9,0.75,0.65,3.34,3.36,8.52,8.36,3.07,2.87,2.31,2.31,1.09,1.12
50,10,3,,33.6,1.69,1.63,0.56,0.54,3.25,3.3,8.14,8.77,2.58,3.04,2.62,2.59,1.16,1
50,10,4,,30.2,1.7,1.7,0.67,0.68,3.36,3.39,7.5,7.58,2.53,2.71,2.27,2.18,1.08,1.01
50,10,5,,42.4,1.81,1.78,0.55,0.58,3.2,3.28,8.54,8.25,3.14,2.96,2.3,2.23,0.89,1.04
50,10,6,,28.7,1.63,1.69,0.61,0.65,2.96,2.91,7.74,7.41,2.59,2.49,2.24,2.18,1.28,1.25
50,10,7,,40.1,1.77,1.75,0.63,0.62,3.22,3.25,8.15,8.13,2.91,2.97,2.03,2.07,1.22,1.25
50,10,8,,38.8,1.77,1.72,0.66,0.68,3.2,3.2,8.35,8.15,2.84,3,2.23,2.06,1.23,1.34
50,10,9,,33.8,1.64,1.65,0.72,0.73,2.93,3.16,8.41,8.33,3.14,3.07,2.17,2.16,1.01,0.93
50,10,10,,41.9,1.81,1.7,0.83,0.87,3.15,2.96,8.93,9.06,3.08,3.03,2.51,2.54,1.18,1.29
50,10,11,,38.8,1.76,1.79,0.68,0.66,3.46,3.28,8.57,8.41,3.11,2.86,2.22,2.41,1.25,1.32
50,10,12,,41.3,1.79,1.74,0.63,0.64,3.18,3.06,8.4,8.49,3.03,3.05,2.12,2.26,1.27,1.3
50,10,13,,38.4,1.72,1.7,0.66,0.64,3.22,3.21,8.27,7.89,2.9,2.58,2.37,2.18,1.09,1.21
50,10,14,,37.9,1.74,1.78,0.63,0.61,3.15,3.19,8.36,8.9,2.95,3.01,2.23,2.42,1.07,1.07
36,12,1,,4.87,0.862,0.884,0.182,0.189,1.53,1.63,5.54,5.18,1.75,1.81,1.61,1.53,0.585,0.611
36,12,2,,5.09,0.791,0.858,0.195,0.208,1.64,1.53,4.65,4.41,1.55,1.67,1.38,1.38,0.666,0.589
36,12,3,,4.51,0.873,0.884,0.177,0.214,1.52,1.61,5.04,5.11,1.64,1.65,1.55,1.52,0.708,0.69
36,12,4,,4.85,0.896,0.865,0.221,0.197,1.74,1.65,5.02,5.09,1.59,1.64,1.51,1.56,0.714,0.72
36,12,5,,4.51,0.861,0.826,0.18,0.192,1.61,1.67,5.37,5.3,1.78,1.77,1.55,1.56,0.852,0.783
36,12,6,,4.49,0.835,0.832,0.252,0.174,1.81,1.79,5.25,5.26,1.7,1.75,1.64,1.72,0.75,0.72
36,12,7,,3.09,0.858,0.818,0.237,0.234,1.61,1.59,4.13,4.37,1.32,1.48,1.21,1.31,0.691,0.689
36,12,8,,4.92,0.874,0.885,0.221,0.208,1.69,1.65,4.7,4.97,1.54,1.6,1.28,1.37,0.805,0.81
36,12,9,,4.38,0.876,0.892,0.26,0.223,1.87,1.88,4.77,4.97,1.57,1.65,1.55,1.59,0.831,0.809
36,12,10,,5.22,0.833,0.818,0.239,0.231,1.75,1.94,5.48,5.38,1.82,1.79,1.43,1.46,0.72,0.74
36,12,11,,4.77,0.912,0.944,0.184,0.239,1.69,1.69,5.29,5.62,1.78,1.8,1.56,1.7,0.791,0.724
36,12,12,,4.94,0.911,0.896,,,1.77,1.86,5.06,4.74,1.62,1.5,1.42,1.48,0.713,0.787
36,12,13,,4.95,0.868,0.84,0.186,0.151,1.87,1.85,4.9,4.99,1.53,1.64,1.58,1.58,0.707,0.762
36,12,14,,5.1,0.874,0.856,0.268,0.237,1.65,1.53,5.14,5.09,1.64,1.62,1.55,1.56,0.79,0.735
36,13,1,,3.99,0.851,0.855,0.14,0.143,1.45,1.39,4.26,4.24,1.41,1.41,1.32,1.27,0.571,0.507
36,13,2,,4.1,0.814,0.854,0.169,0.157,1.66,1.7,5.14,5.39,1.81,1.93,1.42,1.49,0.56,0.548
36,13,3,,4.01,0.868,0.9,0.18,0.181,1.49,1.6,4.83,5.12,1.71,1.82,1.44,1.48,0.722,0.68
36,13,4,,4.3,0.856,0.858,0.293,0.235,1.56,1.75,4.68,4.63,1.47,1.49,1.45,1.39,0.638,0.626
36,13,5,,3.94,0.792,0.819,0.197,0.163,1.31,1.4,4.97,4.91,1.65,1.74,1.38,1.39,0.796,0.76
36,13,6,,4.56,0.87,0.857,0.129,0.134,1.68,1.6,4.97,4.81,1.57,1.52,1.55,1.47,0.771,0.8
36,13,7,,4.36,0.866,0.873,0.148,0.173,1.87,1.69,5.01,5.16,1.64,1.68,1.55,1.55,0.745,0.806
36,13,8,,2.96,0.772,0.785,0.17,0.31,1.44,1.36,4.37,4.59,1.46,1.534,1.32,1.33,0.694,0.617
36,13,9,,3.89,0.8,0.8,0.211,0.208,1.39,1.37,4.97,4.75,1.7,1.7,1.39,1.43,0.769,0.746
36,13,10,,4.4,0.821,0.797,0.148,0.169,1.69,1.64,4.88,5.12,1.69,1.82,1.52,1.51,0.81,0.797
36,13,11,,4.11,0.781,0.796,0.173,0.169,1.7,1.61,5.09,4.96,1.66,1.56,1.55,1.49,0.719,0.822
36,13,12,,3.83,0.865,0.846,0.2,0.19,1.78,1.7,4.57,4.78,1.55,1.55,1.37,1.34,0.731,0.698
36,13,13,,3.41,0.809,0.806,0.169,0.184,1.6,1.71,4.89,4.85,1.51,1.54,1.49,1.51,0.744,0.745
36,15,1,,4.41,0.818,0.806,0.2313,0.238,1.5,1.53,4.46,4.41,1.53,1.53,1.12,1.21,0.675,0.731
36,15,2,,4.38,0.779,0.836,0.211,0.199,1.68,1.6,4.58,4.78,1.49,1.52,1.42,1.36,0.67,0.673
36,15,3,,4.06,0.806,0.818,0.222,0.164,1.66,1.73,4.73,4.96,1.56,1.55,1.53,1.54,0.731,0.7
36,15,4,,3.87,0.846,0.866,0.208,0.208,1.5,1.64,4.37,4.59,1.55,1.59,1.33,1.31,0.753,0.739
36,15,5,,4.01,0.891,0.887,0.235,0.181,1.47,1.53,4.98,5.12,1.53,1.68,1.44,1.59,0.867,0.861
36,15,6,,3.97,0.791,0.789,0.235,0.23,1.65,1.58,4.95,5.05,1.59,1.73,1.44,1.48,0.746,0.794
36,15,7,,4.33,0.811,0.818,0.195,0.182,1.62,1.6,5.5,5.35,1.85,1.92,1.58,1.57,0.861,0.86
36,15,8,,4.33,0.861,0.884,0.173,0.169,1.74,1.55,4.89,4.57,1.54,1.49,1.53,1.4,0.857,0.831
36,15,9,,3.79,0.809,0.795,0.222,0.221,1.56,1.59,4.48,4.5,1.34,1.45,1.31,1.4,0.767,0.748
36,15,10,,4.36,0.844,0.381,0.199,0.224,1.51,1.59,5.39,5.18,1.85,1.8,1.52,1.52,0.829,0.826
36,15,11,,4.2,0.874,0.82,0.203,0.205,1.54,1.61,4.98,4.85,1.57,1.6,1.49,1.42,0.709,0.693
36,15,12,,4.672,0.832,0.832,0.243,0.21,1.67,1.71,5.82,4.55,1.5,1.46,1.45,1.42,0.805,0.822
36,15,13,,4.2,0.82,0.826,0.177,0.186,1.73,1.71,4.64,4.82,1.42,1.49,1.38,1.44,0.663,0.647
36,15,14,,4.92,0.831,0.822,0.208,0.224,1.48,1.64,5.31,5.13,1.62,1.65,1.58,1.54,0.736,0.72
36,15,15,,3.77,0.895,0.839,0.208,0.209,1.58,1.58,4.52,4.94,1.45,1.64,1.32,1.33,0.872,0.852
36,15,16,,1.75,0.584,0.558,,,1.11,1.23,3.68,3.54,1.23,1.12,1.11,1.04,,
36,15,17,,4.41,0.816,0.807,0.234,0.25,1.75,1.77,4.78,4.75,1.59,1.67,1.3,1.33,0.653,0.75
